SAMPLE,LON,LAT,HEIGHT,AHE,DAHE,ASIZE,AUPPM,ATHPPM,KINAHE
KingsCanyon1_1,-119.04444,37.0,2171.0,56.09,4.0,100.0,0.0,0.0,0.79
KingsCanyon2_1,-119.0725,37.03389,2134.0,55.3,3.9,100.0,0.0,0.0,0.79
KingsCanyon3_1,-119.0975,37.047501,2122.0,48.92,3.5,100.0,0.0,0.0,0.79
KingsCanyon4_1,-119.13638,37.052223,1939.0,59.8,4.2,100.0,0.0,0.0,0.79
KingsCanyon5_1,-119.24166,37.090553,1829.0,60.3,4.3,100.0,0.0,0.0,0.79
KingsCanyon6_1,-119.26945,37.154167,1890.0,66.92,4.7,100.0,0.0,0.0,0.79
KingsCanyon7_1,-119.23333,37.203888,1524.0,72.83,5.1,100.0,0.0,0.0,0.79
KingsCanyon8_1,-119.24444,37.220001,2043.0,72.7,5.1,100.0,0.0,0.0,0.79
KingsCanyon9_1,-119.41473,37.329445,2000.0,75.83,5.401,100.0,0.0,0.0,0.79
KingsCanyon10_1,-119.43417,37.336109,2049.0,72.7,5.1,100.0,0.0,0.0,0.79
KingsCanyon11_1,-119.4175,37.361111,2341.0,80.0,8.0,100.0,0.0,0.0,0.79
KingsCanyon12_1,-119.43361,37.379719,2073.0,70.0,4.9,100.0,0.0,0.0,0.79
