Misfit,param0001,param0002
 121.907654    , 73.9466400    ,0.397609249E-01
 73.6474380    , 95.5469971    ,0.224890951E-01
 185.970184    , 70.2418976    ,0.449438952E-01
 38.6757317    , 93.0988693    ,0.258729011E-01
 34.2881546    , 75.5803452    ,0.114368917E-01
 47.4805908    , 83.9452286    ,0.168571919E-01
 75.3313675    , 82.3848877    ,0.389421917E-01
 505.443939    , 97.8270874    ,0.175836682E-02
 78.5076904    , 78.3701019    ,0.219927263E-02
 39.6679230    , 74.9471512    ,0.240804162E-01
 26.5817680    , 92.4403992    ,0.304095298E-01
 26.5938320    , 94.5007095    ,0.311754644E-01
 55.7192345    , 83.3156891    ,0.144165335E-01
 66.8161697    , 81.1019669    ,0.934417639E-02
 156.083572    , 99.1560669    ,0.194067266E-01
 117.301537    , 93.7930908    ,0.173023604E-01
 28.3467999    , 92.6453857    ,0.289193299E-01
 39.1675529    , 89.8057861    ,0.359797776E-01
 55.4284058    , 96.1867981    ,0.420837887E-01
 102.238190    , 95.4546967    ,0.486818738E-01
 30.5621586    , 76.5376205    ,0.156395473E-01
 34.0579720    , 70.0674667    ,0.115059437E-01
 29.8933067    , 89.6004944    ,0.264723729E-01
 55.2142105    , 90.2899628    ,0.210323744E-01
 26.5503998    , 90.8778229    ,0.302949883E-01
 26.9640274    , 91.0661011    ,0.292559173E-01
 26.8516731    , 96.3175354    ,0.341418944E-01
 26.7706718    , 95.0570374    ,0.311819259E-01
 29.8567238    , 92.0471954    ,0.278654993E-01
 28.2370148    , 91.5902100    ,0.284525789E-01
 27.6470222    , 85.5370712    ,0.281639434E-01
 27.5936432    , 85.5409546    ,0.257625375E-01
 26.5750561    , 90.6067047    ,0.300966743E-01
 28.7167969    , 91.4343262    ,0.330839567E-01
 26.5657787    , 93.0910873    ,0.306797661E-01
 26.3653717    , 93.2119751    ,0.313871913E-01
 27.4911709    , 94.2515106    ,0.302193444E-01
 29.5431194    , 93.7592010    ,0.346735492E-01
 28.1938992    , 94.8872986    ,0.300707053E-01
 27.9617939    , 95.5839996    ,0.305130184E-01
